epoch;kl_loss;reconstruction_loss;total_loss;val_kl_loss;val_reconstruction_loss;val_total_loss
44;4.146018028259277;650.3489990234375;654.4947509765625;NA;NA;NA
45;4.134975910186768;650.3677978515625;654.5028076171875;NA;NA;NA
46;4.143267631530762;650.3440551757812;654.4871215820312;NA;NA;NA
47;4.1354899406433105;650.374267578125;654.5098876953125;NA;NA;NA
48;4.142221450805664;650.336181640625;654.4783935546875;NA;NA;NA
49;4.143465042114258;650.32861328125;654.47216796875;NA;NA;NA
50;4.134291172027588;650.322509765625;654.4569091796875;NA;NA;NA
51;4.140285491943359;650.3402709960938;654.4807739257812;NA;NA;NA
52;4.133596420288086;650.3169555664062;654.4506225585938;NA;NA;NA
53;4.13775634765625;650.3099365234375;654.4471435546875;NA;NA;NA
54;4.149593830108643;650.2992553710938;654.448974609375;NA;NA;NA
55;4.136691093444824;650.3289794921875;654.4658203125;NA;NA;NA
56;4.138806343078613;650.288330078125;654.4271240234375;NA;NA;NA
57;4.146104335784912;650.278076171875;654.4242553710938;NA;NA;NA
58;4.137393474578857;650.2717895507812;654.4088745117188;NA;NA;NA
59;4.13918399810791;650.2532348632812;654.392578125;NA;NA;NA
0;4.146482944488525;650.3036499023438;654.449951171875;NA;NA;NA
1;4.143453598022461;650.2342529296875;654.3777465820312;NA;NA;NA
2;4.1491289138793945;650.260986328125;654.4102783203125;NA;NA;NA
3;4.141806602478027;650.2442626953125;654.3861694335938;NA;NA;NA
